"TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","TRAVTIME","CAR_USE","BLUEBOOK","TIF","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY","HSDropout","Bachelors","Masters","PhD","Panel_Truck","Pickup","Sports_Car","Van","SUV","Professional","Blue_Collar","Clerical","Doctor","Lawyer","Manager","Home_Maker","Student","INCOME_MOD","HOME_VAL_MOD","BLUEBOOK_MOD","OLD_CLAIM_MOD","predict_prob","predict_target"
NA,NA,0,48,0,11,52881,0,0,0,1,26,0,21970,1,0,0,0,0,2,10,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,110.965698800786,0,100.365315983307,0,0.12105558687386,0
NA,NA,1,40,1,11,50815,1,0,0,1,21,0,18930,6,0,3295,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,109.067285810676,0,93.7057914324091,8.10046489102936,0.273259348088563,0
NA,NA,0,44,2,12,43486,1,0,0,0,30,1,5900,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,101.954245920743,0,54.7473090316058,0,0.120818135317868,0
NA,NA,0,35,2,11,21204,1,0,0,1,74,0,9230,6,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,74.7031483526638,0,67.2911552295528,0,0.246284804744824,0
NA,NA,0,59,0,12,87460,0,0,0,1,45,0,15420,1,0,44857,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,137.975984577261,0,85.2524554192839,10.7112572239328,0.114847831874274,0
NA,NA,0,46,0,14,51778,0,207519,1,1,7,1,25660,1,0,2119,1,0,2,12,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,109.957511463708,3.9886647845043,107.812053114935,7.65917136766606,0.26094533201751,0
NA,NA,0,60,0,12,37940,0,182739,1,0,16,1,11290,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,96.1056991348614,3.93175937108238,73.8400372706499,0,0.403349335189181,0
NA,NA,0,54,0,12,33212,0,158432,1,1,27,1,24000,4,0,0,0,0,5,8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90.7236987153667,3.86885317405743,104.538769165454,0,0.355296312890852,0
NA,NA,2,36,2,12,130540,1,344195,0,0,5,1,27200,4,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.10317452254,4.2233679024188,110.748095047466,0,0.040298418002102,0
NA,NA,0,50,0,8,167469,0,0,0,0,22,0,34150,4,0,0,0,0,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,182.794703108011,0,122.996602835142,0,0.149843039090182,0
NA,NA,0,42,0,11,52988,0,176275,1,1,24,1,23450,1,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.062864242986,3.91579143156281,103.427458380305,0,0.0248563392612004,0
NA,NA,0,41,2,7,17755,1,148815,0,0,29,0,14480,1,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,69.1760648310992,3.84157289156149,82.8160108124431,0,0.596078960989437,1
