"TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","TRAVTIME","CAR_USE","BLUEBOOK","TIF","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY","HSDropout","Bachelors","Masters","PhD","Panel_Truck","Pickup","Sports_Car","Van","SUV","Professional","Blue_Collar","Clerical","Doctor","Lawyer","Manager","Home_Maker","Student","INCOME_MOD","HOME_VAL_MOD","BLUEBOOK_MOD","OLD_CLAIM_MOD","predict_prob","predict_target","TARGET_AMT1"
NA,NA,0,41,2,7,17755,1,148815,0,0,29,0,14480,1,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,69.1760648310992,3.84157289156149,82.8160108124431,0,0.596078960989437,1,2663.79415434572
NA,NA,1,37,2,13,51778,1,0,0,0,62,1,9360,4,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,109.957511463708,0,67.7264272892951,0,0.834667398831128,1,4179.50373202558
NA,NA,0,35,2,12,51778,1,0,0,0,43,0,9730,5,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,109.957511463708,0,68.9477374786358,0,0.556252402821807,1,3045.14777976037
NA,NA,2,44,2,14,45576,0,156623,1,0,27,0,1500,4,0,25276,1,0,8,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,104.047770178572,3.86383592228626,29.119108217154,10.1376501703328,0.76688529273796,1,3535.9558013318
NA,NA,0,62,0,15,40656,0,208242,1,0,57,0,9170,4,0,42342,2,1,2,7,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,99.0263957671598,3.99023267709744,67.0891460172068,10.6535583971622,0.55315867508941,1,2645.65006552907
NA,NA,2,35,4,6,154577,1,397868,0,0,27,0,20450,6,0,4645,1,0,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,176.563012697307,4.29309509219037,97.1023223821467,8.44376191333035,0.54500549103772,1,3539.18979158271
NA,NA,1,40,2,12,35260,0,141167,1,0,30,0,9740,7,0,2235,1,0,8,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,93.1050503598964,3.81873788650084,68.9803953490192,7.71244383427499,0.580625877460753,1,2762.54247813101
NA,NA,0,46,0,7,26697,0,134863,1,0,43,0,15080,6,0,0,0,1,4,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,82.5388181080393,3.7990751828897,84.380679520265,0,0.515462563109504,1,2206.93588874888
NA,NA,0,62,0,12,22181,0,185459,0,0,24,0,17880,7,0,9873,3,0,5,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,76.1745374478916,3.93832918912115,91.272810605685,9.19766031881881,0.541957471407148,1,2826.36529141353
NA,NA,0,32,3,13,30955,1,111256,0,0,9,0,7800,4,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,88.0007634763155,3.7173593788122,62.2666659018937,0,0.634346670135216,1,2437.58407474836
NA,NA,1,44,2,15,46140,0,169084,1,1,29,1,10510,1,0,4276,3,0,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104.603350768991,3.89740541306425,71.4428633208774,8.36100710822691,0.742904874823928,1,3810.9545688279
NA,NA,0,32,3,14,21944,0,128776,1,0,34,0,7270,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,75.8210403360232,3.77929982354338,60.2791838296915,0,0.548576586863669,1,1796.74508925364
NA,NA,0,36,0,13,20891,0,134406,1,0,39,1,5100,1,0,2949,2,0,9,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74.2236566506498,3.79761827095959,51.1905565385007,7.98956044933387,0.828477283396709,1,3965.5380001052
NA,NA,0,35,2,10,17493,1,102902,0,0,52,0,19340,9,0,5658,3,0,7,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,68.7321992205396,3.68471490556505,94.6360124126778,8.64100247714252,0.571102760928788,1,3369.89152502977
NA,NA,0,32,4,15,4478,1,0,0,0,7,0,6780,4,0,7181,3,0,5,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,38.09951179114,0,58.3709671052324,8.87933317478603,0.708342579332472,1,3213.96472973949
NA,NA,0,44,1,11,75046,0,244819,1,1,56,1,9000,4,0,3288,3,0,6,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,129.126930877998,4.06386711569376,66.5128866941754,8.09833884618906,0.67045472469533,1,3427.744656691
NA,NA,0,44,0,12,39852,0,125283,1,0,37,1,7410,1,0,3704,2,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,98.1736420282739,3.76757418339371,60.811566911441,8.21743853773019,0.599964712040134,1,2336.59727474387
NA,NA,0,58,0,14,39707,0,192089,1,1,29,1,16870,1,0,3546,1,0,6,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,98.0188141088654,3.95399196108164,88.858720017901,8.17385745477362,0.626582645242315,1,3103.87804135884
NA,NA,0,63,2,10,52064,0,158840,1,0,16,1,11770,1,0,834,2,0,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110.220087391603,3.86997773359729,75.2710456784867,6.72743172485086,0.69650115115496,1,3782.95983706198
NA,NA,0,43,0,14,54932,0,225678,1,1,37,1,11290,4,0,5076,3,0,5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,112.809169802644,4.02665371209728,73.8400372706499,8.53247581494739,0.580265140292461,1,3017.90943183027
NA,NA,0,42,0,8,94591,0,309644,0,1,21,1,17470,6,0,16121,3,1,3,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,142.739105440735,4.173183500108,90.3019293179564,9.68794007784355,0.723719502512739,1,3499.39836436681
NA,NA,0,55,0,11,3865,0,0,0,0,27,0,16600,1,0,6089,2,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,35.7466816596322,0,88.2002525310851,8.71440336070394,0.748486906634535,1,2322.30862833661
NA,NA,0,44,0,12,51778,0,0,0,0,32,1,10770,1,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,109.957511463708,0,72.2522605244943,0,0.593779443344356,1,2911.53852035266
NA,NA,0,31,2,0,0,0,0,1,0,48,0,7740,4,0,7323,1,0,7,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,62.0453991596348,8.8989119057944,0.730009688897013,1,2826.87116857325
NA,NA,2,36,2,0,0,0,110346,1,0,28,0,5100,4,0,39425,3,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.71391102646743,51.1905565385007,10.5821807761259,0.60166426427889,1,2237.4229038211
NA,NA,1,57,2,0,0,0,0,1,1,29,0,9240,1,0,8336,2,1,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,67.3247545469226,9.02845871841061,0.831274344722826,1,2900.270143375
NA,NA,0,34,2,0,0,1,0,0,0,22,0,11520,9,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,74.5297377141571,0,0.690633505197063,1,2361.66656180046
NA,NA,0,48,0,10,7302,0,158840,0,0,27,0,7030,10,0,3564,1,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,47.0836705020999,3.86997773359729,59.3535097030674,8.1789193328484,0.548054695052967,1,1834.8172296069
